"product_name","product_url","product_price","product_price_url","product_freeshipping"
"LED Candelabra Bulbs E12 Base, Color Changing and Dimmable Smart Light Bulb, Compatible with Alexa Google Home IFTTT, Tunable White Chandelier Light Bulbs 320 lm 35w Equivalent, 3 Pack","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B081L4Q5HH/ref=sr_1_24?keywords=smart+light&qid=1581498965&sr=8-24","$28.99","https://www.amazon.com/Candelabra-Changing-Compatible-Chandelier-Equivalent/dp/B081L4Q5HH/ref=sr_1_24?keywords=smart+light&qid=1581498965&sr=8-24","FREE Shipping"
"Kasa Smart WiFi Light Bulb, Dimmable by TP-Link – No Hub Required, Works with Alexa & Google (KL110)","https://www.amazon.com/Kasa-Smart-Light-Dimmable-TP-Link/dp/B07G1PH3JL/ref=sr_1_25?keywords=smart+light&qid=1581498965&sr=8-25","$16.99","https://www.amazon.com/Kasa-Smart-Light-Dimmable-TP-Link/dp/B07G1PH3JL/ref=sr_1_25?keywords=smart+light&qid=1581498965&sr=8-25","Fast, Free Shipping"
"Smart Light Switch&Alexa Smart Double Switch& 2.4Ghz WIFI Light Switch With Timer and Remote Control,Schedule,Neutral Wire Needed,Works with Alexa, Google Assistant and IFTTT,Single Pole (2gang)","https://www.amazon.com/Switch-Double-Remote-Control-required/dp/B07QRRRTDM/ref=sr_1_26?keywords=smart+light&qid=1581498965&sr=8-26","$45.99","https://www.amazon.com/Switch-Double-Remote-Control-required/dp/B07QRRRTDM/ref=sr_1_26?keywords=smart+light&qid=1581498965&sr=8-26","FREE Shipping"
"LED Candelabra Bulbs E12 Base- Chandelier Lighting Bulbs 400 Lumens 5W(45 Watt equiv.) - Tunable White 2000K-6500K RGB Color Changing Dimmable Smart Light Bulb - 3 Pack","https://www.amazon.com/Candelabra-Chandelier-Lighting-Lumens-equiv/dp/B07YFTKCQC/ref=sr_1_27?keywords=smart+light&qid=1581498965&sr=8-27","$29.99","https://www.amazon.com/Candelabra-Chandelier-Lighting-Lumens-equiv/dp/B07YFTKCQC/ref=sr_1_27?keywords=smart+light&qid=1581498965&sr=8-27","FREE Shipping"
"Smart Light Bulbs, Aoycocr BR30 Dimmable LED Light Bulbs, 720 Lumen, Tunable White 2700K - 9000K,9 (80W Equivalent), Works with Alexa, Google Assistant, IFTTT, No Hub Required, Wi-Fi, E26 Base, 6 Pack","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VP2KL7W/ref=sr_1_28?keywords=smart+light&qid=1581498965&sr=8-28","$80.99","https://www.amazon.com/Smart-Light-Aoycocr-Dimmable-Tunable/dp/B07VP2KL7W/ref=sr_1_28?keywords=smart+light&qid=1581498965&sr=8-28","FREE Shipping"
"LED Strip Lights, DAYBETTER 16.4 FT Smart Strip Lights 5050 Kit 150 LEDs Work with Alex Google Assistant WiFi Rope Light APP Controlled Smart Light Strip for Bedroom, Home, Ceiling, Cupboard Lighting","https://www.amazon.com/DAYBETTER-Assistant-Controlled-Cupboard-Lighting/dp/B07VQT4HR2/ref=sr_1_29?keywords=smart+light&qid=1581498965&sr=8-29","$24.99","https://www.amazon.com/DAYBETTER-Assistant-Controlled-Cupboard-Lighting/dp/B07VQT4HR2/ref=sr_1_29?keywords=smart+light&qid=1581498965&sr=8-29","Fast, Free Shipping"
"TP-Link Kasa Smart WiFi Light Bulb, Multicolor - Smart LED Light Bulbs, Works with Alexa & Google (KL130)","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_30?keywords=smart+light&qid=1581498965&sr=8-30","$29.99","https://www.amazon.com/Kasa-Smart-Light-Multicolor-TP-Link/dp/B07FZ6PLJG/ref=sr_1_30?keywords=smart+light&qid=1581498965&sr=8-30","FREE Shipping"
"Dusk to Dawn Light Bulb Sensor Smart LED Outdoor Lighting Bulbs Lamp 7W E26/E27 Automatic On/Off, Indoor/Outdoor Yard Porch Patio Garden (Warm White, 3 Pack)","https://www.amazon.com/Sensor-Outdoor-Lighting-Automatic-Indoor/dp/B077SQ95ZW/ref=sr_1_31?keywords=smart+light&qid=1581498965&sr=8-31","$21.99","https://www.amazon.com/Sensor-Outdoor-Lighting-Automatic-Indoor/dp/B077SQ95ZW/ref=sr_1_31?keywords=smart+light&qid=1581498965&sr=8-31",""
"Kasa Smart Wi-Fi Light Switch, 3-Way Kit by TP-Link - Control Lighting from Anywhere, Easy In-Wall Installation (3-Way Only), No Hub Required, Works with Alexa and Google Assistant (HS210 KIT)","https://www.amazon.com/TP-Link-Switch-HS210-KIT-1-Pack/dp/B07724HNTX/ref=sr_1_32?keywords=smart+light&qid=1581498965&sr=8-32","$44.97","https://www.amazon.com/TP-Link-Switch-HS210-KIT-1-Pack/dp/B07724HNTX/ref=sr_1_32?keywords=smart+light&qid=1581498965&sr=8-32","FREE Shipping"
"LED Night Light Plug in, Super Smart Dusk to Dawn Sensor, Automatic Night Lights Suitable for Bedroom, Bathroom, Toilet,Stairs,Kitchen,Hallway,Kids,Adults,Compact Nightlight, (Warm White, 4 Pack)","https://www.amazon.com/Automatic-Suitable-Bedroom-Bathroom-Nightlight/dp/B083Q333Z7/ref=sr_1_33?keywords=smart+light&qid=1581498965&sr=8-33","$13.47","https://www.amazon.com/Automatic-Suitable-Bedroom-Bathroom-Nightlight/dp/B083Q333Z7/ref=sr_1_33?keywords=smart+light&qid=1581498965&sr=8-33","Fast, Free Shipping"
